id,contract_epsilon,B,S,R,D,L,F,r,g,b,nx,ny,nz,gpu_r,raw_reference,safe_reference,positive_r,coefficient_denominator,stable_denominator,tone_reference
epsilon_0p01_dark,0.01,0.01,0.0,0.0,0.0,1.0,0.01,0.0002,0.0002,0.0002,0.0,0.0,1.0,0.015479875728487968,1.0,1.0,1.0,1.7881393432617188e-07,1.547987596456238e-07,1.0
epsilon_0p01_black,0.01,0.99,0.0,0.0,0.99,1.0,0.01,0.0,0.0,0.0,0.4358898943540673,0.0,0.9,0.49726754426956177,0.0,0.49724027554471123,0.4972432851791382,1.9889009634418472e-05,1.9889981444839558e-05,0.9990000008872824
epsilon_0p01_front,0.01,0.5,0.99,0.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.1410672962665558,0.1410673597966589,0.14106735064559106,0.1410672962665558,0.24999995721188698,0.249999957211887,0.14106729286850458
epsilon_0p01_grazing,0.01,0.5,0.99,0.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.9999499887489374,0.0,0.010001,0.14038650691509247,0.14038639749491988,0.14038652147500047,0.14038650691509247,0.24999995713072584,0.24999995713072587,0.14038646393118612
epsilon_0p01_reverse,0.01,0.5,0.0,0.0,0.99,0.01,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.009999996051192284,0.01,0.010000004497171446,0.009999996051192284,0.2499999415874481,0.2499999415874481,0.009999999776482582
epsilon_0p005_dark,0.005,0.005,0.0,0.0,0.0,1.0,0.01,0.0002,0.0002,0.0002,0.0,0.0,1.0,0.007739937864243984,1.0,1.0,1.0,5.960464477539063e-08,7.73993798228119e-08,1.0
epsilon_0p005_black,0.005,0.995,0.0,0.0,0.995,1.0,0.01,0.0,0.0,0.0,0.4358898943540673,0.0,0.9,0.7991245985031128,0.0,0.7991184120377431,0.7991107702255249,1.2444780089878873e-05,1.2444995198498725e-05,0.9995000004436412
epsilon_0p005_front,0.005,0.5,0.995,0.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.09987504780292511,0.09987492177719094,0.09987491714007747,0.09987504780292511,0.24999995230136804,0.249999952301368,0.09987487427246419
epsilon_0p005_grazing,0.005,0.5,0.995,0.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.9999499887489374,0.0,0.010001,0.19780178368091583,0.1978012532000142,0.19780142130524345,0.19780178368091583,0.24999996397511312,0.2499999639751131,0.19780134564263235
epsilon_0p005_reverse,0.005,0.5,0.0,0.0,0.995,0.005,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.004999998025596142,0.005,0.00500000226050666,0.004999998025596142,0.24999994099140166,0.24999994099140166,0.004999999888241291
epsilon_0p001_dark,0.001,0.001,0.0,0.0,0.0,1.0,0.01,0.0002,0.0002,0.0002,0.0,0.0,1.0,0.0015479876892641187,1.0,1.0,1.0,0.0,1.547987704581925e-08,1.0
epsilon_0p001_black,0.001,0.999,0.0,0.0,0.999,1.0,0.01,0.0,0.0,0.0,0.4358898943540673,0.0,0.9,0.9900919198989868,0.0,0.9900885659318166,0.9900868535041809,1.0088945460504882e-05,1.0088997320945801e-05,0.9999000012808212
