id,B,S,R,D,L,F,r,g,b,nx,ny,nz,gpu_r,requested_r,safe_r,NoFloor_r,Positive_r,Stable_r,stable_denominator,coefficient_denominator,safe_B,base_r,warp_shift,reference_tone
brightness_zero,0.0,0.0,0.0,0.99999,0.99999,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.4993221163749695,0.0,0.49966083181690224,0.4993221163749695,0.49966081976890564,0.49966081976890564,1.0006689897402565e-05,1.0013478856762958e-05,9.999999747378752e-06,0.5000001192092896,0.0,0.9999899864196777
brightness_one,1.0,0.0,0.0,1e-05,1e-05,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.49966081976890564,1.0,0.49966083181690224,0.49966081976890564,0.49966081976890564,0.49966081976890564,1.0006689897402565e-05,1.0006689726872308e-05,0.9999899864196777,0.5000001192092896,0.0,9.999999747378752e-06
tone_lost,0.5,0.0,0.0,1.0,1e-08,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.0,1e-08,1.0000004707597934e-08,0.0,0.0,0.0,0.2499999403953564,0.24999994039535642,0.5,0.5000001192092896,0.0,9.99999993922529e-09
tone_partial,0.5,0.0,0.0,1.0,0.0001,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.00010001663758885115,0.0001,0.00010000004515274513,0.00010001663758885115,0.00010001663758885115,0.00010001663758885115,0.24999994040727613,0.24999994040727616,0.5,0.5000001192092896,0.0,9.999999747378752e-05
shift_one,0.5,1.0,0.0,0.0,1.0,0.0,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.00447517354041338,0.0,0.004475162498342389,0.00447517354041338,0.00447517354041338,0.004475162364542484,0.24999994092883593,0.2499999409288359,0.5,0.5000001192092896,0.9999899864196777,0.004475160373968778
shift_nearone,0.5,0.999999,0.0,0.0,1.0,0.0,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.00447517354041338,0.0014142132088399936,0.004475162498342389,0.00447517354041338,0.00447517354041338,0.004475162364542484,0.24999994092883593,0.2499999409288359,0.5,0.5000001192092896,0.9999899864196777,0.004475160373968778
rotation_large,0.5,0.8,1000000000000.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.6,0.0,0.8,0.33922451734542847,0.5353058717581136,0.3392244954793109,0.33922451734542847,0.33922451734542847,0.33922451734542847,0.24999998083405361,0.2499999808340536,0.5,0.5000001192092896,0.800000011920929,0.33922438859568016
rotation_reduced,0.5,0.8,280.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.6,0.0,0.8,0.5353059768676758,0.5353058717581136,0.5353059738315767,0.5353059768676758,0.5353059768676758,0.5353059768676758,0.25000000420878593,0.25000000420878593,0.5,0.5000001192092896,0.800000011920929,0.5353058552166683
warp_floor,0.5,0.99999,0.0,0.0,1.0,0.0,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.099999,0.99498743710662,0.00044721247746346156,0.020013537257909775,0.1,0.10000002386092155,0.020013537257909775,0.020013537257909775,0.10000002384185791,0.24999995231628191,0.24999995231628191,0.5,0.5000001192092896,0.9999899864196777,0.0999999809455764
warp_cancel,0.5,0.9999,0.0,0.0,1.0,0.0,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.9999,0.0,0.014141782065918275,1.0,0.9999999999999999,0.9999999965603322,1.0,1.0,1.0,0.25000005960464433,0.2500000596046444,0.5,0.5000001192092896,0.9998999834060669,0.9999999965603306
warp_cancel_near,0.5,0.99999,0.0,0.0,1.0,0.0,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.99999,0.0,0.004472124774634615,0.9993242621421814,0.9999999999999998,0.9999997698006422,0.9993242621421814,0.9993242621421814,0.9999998807907104,0.2500000596046173,0.25000005960461735,0.5,0.5000001192092896,0.9999899864196777,0.9999997698005324
cutoff_below,0.5,0.0,0.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.9999500087499374,0.0,0.009999,0.0,0.0,0.0,0.0,0.0,0.0,0.24999994039535522,0.24999994039535522,0.5,0.5000001192092896,0.0,0.0
cutoff_above,0.5,0.0,0.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.9999499887489374,0.0,0.010001,0.010001005604863167,0.010001,0.010001004708539851,0.010001005604863167,0.010001005604863167,0.010001005604863167,0.24999994158756733,0.24999994158756733,0.5,0.5000001192092896,0.0,0.010000999987383588
zero_normal,0.5,0.0,0.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.5,0.5000001192092896,0.0,
floor_light_A,0.999,0.0,0.0,1e-06,1e-06,0.01,0.9999,0.9999,0.9999,0.0,0.0,1.0,0.0998772606253624,0.8144965142405228,0.814433706641822,0.8144336342811584,0.8144336342811584,0.8144336342811584,1.2263400436912959e-06,1.2263400365858685e-06,0.9990000128746033,0.9997724294662476,0.0,9.999999974752427e-07
floor_light_B,0.9999,0.0,0.0,1e-06,1e-06,0.01,0.9999,0.9999,0.9999,0.0,0.0,1.0,0.09996724873781204,0.9777515240711663,0.9777385886785916,0.977738618850708,0.977738618850708,0.977738618850708,1.0224332400138422e-06,1.0224332400138422e-06,0.9998999834060669,0.9997724294662476,0.0,9.999999974752427e-07
floor_light_C,0.99,0.0,0.0,1e-06,1e-06,0.01,0.99999,0.99999,0.99999,0.0,0.0,1.0,0.09899774938821793,0.8131473007392706,0.8130118149323955,0.8130118250846863,0.8130118250846863,0.8130118250846863,1.2176667639631188e-06,1.2176667639631188e-06,0.9900000095367432,0.9999772310256958,0.0,9.999999974752427e-07
cancel_unfloored,1e-05,0.0,0.0,1.0,1.0,0.01,0.04,0.04,0.04,0.0,0.0,1.0,0.0030959751456975937,1.0,1.0,0.5194184184074402,1.0,1.0,3.095975067486683e-08,5.960464477539063e-08,9.999999747378752e-06,0.0030959751456975937,0.0,1.0
warp_default_cutoff,0.5,0.99999,0.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.9999499887489374,0.0,0.010001,0.7456710338592529,0.7452951206751245,0.7456323781361351,0.7456710338592529,0.7456710338592529,0.745632529258728,0.2500000292816505,0.2500000292816505,0.5,0.5000001192092896,0.9999899864196777,0.7456322876969314
tiny_shift,0.5,1e-05,0.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.6,0.0,0.8,0.8000000715255737,0.8000047999887999,0.8000048691287178,0.8000000715255737,0.8000000715255737,0.8000000715255737,0.2500000357633582,0.2500000357633582,0.5,0.5000001192092896,9.999999747378752e-06,0.8000047928361547
root_precision,0.5,0.99983,0.0,0.0,1.0,0.0,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.018438687548041344,0.018438305236653584,0.018437904289711857,0.018438687548041344,0.018438687548041344,0.018437903374433517,0.24999994259332364,0.24999994259332367,0.5,0.5000001192092896,0.9998300075531006,0.018437895659939755
singular_B0_t1,0.0,0.0,0.0,1.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.5000001192092896,,1.0,0.9986440539360046,1.0,1.0,5.000001065782241e-06,5.0067901611328125e-06,9.999999747378752e-06,0.5000001192092896,0.0,1.0
singular_B1_t0,1.0,0.0,0.0,0.0,0.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,5.006788967421016e-06,5.00678879689076e-06,0.9999899864196777,0.5000001192092896,0.0,0.0
singular_black_t1,0.5,0.0,0.0,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.5,,1.0,0.9986438155174255,1.0,1.0,4.999999873689376e-06,5.0067901611328125e-06,0.5,9.999999747378752e-06,0.0,1.0
singular_white_t0,0.5,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,5.0067901611328125e-06,5.0067901611328125e-06,0.5,0.9999899864196777,0.0,0.0
singular_shift_pole,0.5,1.0,0.0,0.0,1.0,0.0,0.7353569830524495,0.7353569830524495,0.7353569830524495,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.24999994039535522,0.24999994039535522,0.5,0.5000001192092896,0.9999899864196777,0.0
subnormal_tone,0.5,0.0,0.0,1e-40,1e-40,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.0,1e-40,9.999950869461778e-41,0.0,0.0,0.0,0.24999994039535522,0.24999994039535522,0.5,0.5000001192092896,0.0,9.99994610111476e-41
