id,contract_epsilon,B,S,R,D,L,F,r,g,b,nx,ny,nz,gpu_r,gpu_g,gpu_b,reference_stored,reference_requested,positive_r,reference_at_gpu_tone,reference_tone,gpu_tone,reference_denominator,gpu_denominator_raw
named_rgb_distortion,0.01,0.01,0.0,0.0,0.0,1.0,0.01,0.0101,0.02,0.5,0.0,0.0,1.0,0.7817336916923523,0.9988815188407898,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.817336998306129e-06,7.808208465576172e-06
named_dark_endpoint,0.01,0.01,0.0,0.0,0.0,1.0,0.01,0.010001,0.010001,0.010001,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9892336697327572,0.989233672618866
named_high_color_shadow,0.01,0.99,0.0,0.0,1e-06,0.01,0.01,0.989999,0.989999,0.989999,0.0,0.0,-1.0,0.004263240844011307,0.004263240844011307,0.004263240844011307,0.004263241057905436,0.004263222107253299,0.004263240844011307,0.004263241057905436,9.999999974752427e-07,9.999999974752427e-07,0.00022696951978931748,0.0002269695105496794
named_tiny_shift,0.01,0.5,1e-05,0.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.6,0.0,0.8,0.8000000715255737,0.8000000715255737,0.8000000715255737,0.8000048691287178,0.8000047999887999,0.8000000715255737,0.8000000882148599,0.8000047928361547,0.800000011920929,0.2500000357633582,0.2500000298023224
named_tiny_dark,0.01,0.5,0.0,0.0,1e-40,0.01,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,-1.0,0.0,0.0,0.0,9.999950869461778e-41,1e-40,0.0,0.0,9.99994610111476e-41,0.0,0.24999994039535522,0.24999994039535522
named_reverse,0.01,0.5,0.0,0.0,0.99,0.01,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.009999996051192284,0.009999996051192284,0.009999996051192284,0.010000004497171446,0.01,0.009999996051192284,0.00999999518394135,0.009999999776482582,0.009999990463256836,0.2499999415874481,0.24999994039535522
named_shift_max,0.01,0.5,0.99,0.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.0,0.0,1.0,0.1410672962665558,0.1410672962665558,0.1410672962665558,0.14106735064559106,0.1410673597966589,0.1410672962665558,0.14106729443897825,0.14106729286850458,0.141067236661911,0.249999957211887,0.24999995529651642
named_rotation_0,0.01,0.5,0.99,0.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.6,0.0,0.8,0.27796509861946106,0.27796509861946106,0.27796509861946106,0.27796521269830377,0.27796524097863823,0.27796509861946106,0.2779651049139424,0.2779651169968324,0.2779650092124939,0.24999997353137932,0.2499999701976776
named_rotation_37,0.01,0.5,0.99,37.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.6,0.0,0.8,0.22970996797084808,0.22970996797084808,0.22970996797084808,0.2297100281382091,0.22971004816396032,0.22970996797084808,0.2297099629370084,0.2297099437650648,0.22970987856388092,0.24999996777891442,0.2499999701976776
named_rotation_90,0.01,0.5,0.99,90.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.6,0.0,0.8,0.11285384744405746,0.11285384744405746,0.11285384744405746,0.11285388102572956,0.11285388783732712,0.11285384744405746,0.11285383557931371,0.11285383328581178,0.11285378783941269,0.24999995384858054,0.24999995529651642
named_rotation_180,0.01,0.5,0.99,180.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.6,0.0,0.8,0.07079914957284927,0.07079914957284927,0.07079914957284927,0.0707991732843527,0.07079917681137211,0.07079914957284927,0.0707991511400308,0.07079914191483974,0.07079911977052689,0.24999994883527066,0.24999995529651642
named_rotation_270,0.01,0.5,0.99,270.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.6,0.0,0.8,0.11285384744405746,0.11285384744405746,0.11285384744405746,0.11285388102572956,0.11285388783732712,0.11285384744405746,0.11285383557931371,0.11285383328581178,0.11285378783941269,0.24999995384858054,0.24999995529651642
named_rotation_360,0.01,0.5,0.99,360.0,0.0,1.0,0.01,0.7353569830524495,0.7353569830524495,0.7353569830524495,0.6,0.0,0.8,0.27796509861946106,0.27796509861946106,0.27796509861946106,0.27796521269830377,0.27796524097863823,0.27796509861946106,0.2779651049139424,0.2779651169968324,0.2779650092124939,0.24999997353137932,0.2499999701976776
epsilon_0p005,0.005,0.005,0.0,0.0,0.0,1.0,0.01,0.0050005,0.0050005,0.0050005,0.0,0.0,1.0,0.193517804145813,0.193517804145813,0.193517804145813,1.0,1.0,1.0,1.0,1.0,1.0,1.9351779632789342e-06,1.9073486328125e-06
epsilon_0p01,0.01,0.01,0.0,0.0,0.0,1.0,0.01,0.010001,0.010001,0.010001,0.0,0.0,1.0,0.774071216583252,0.774071216583252,0.774071216583252,1.0,1.0,1.0,1.0,1.0,1.0,7.740711853115737e-06,7.748603820800781e-06
epsilon_0p011,0.011,0.011,0.0,0.0,0.0,1.0,0.01,0.0110011,0.0110011,0.0110011,0.0,0.0,1.0,0.936626136302948,0.936626136302948,0.936626136302948,1.0,1.0,1.0,1.0,1.0,1.0,9.366261372813385e-06,9.357929229736328e-06
